"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 18 21:36:42 UTC 2025","Wed Jun 18 21:36:45 UTC 2025","2710","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOwnerArabicName","shouldDeclinedPaymentByCardWithOwnerArabicName()",""
"passed","Wed Jun 18 21:36:42 UTC 2025","Wed Jun 18 21:36:42 UTC 2025","292","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOldMonth","shouldDeclinedPaymentByCardWithOldMonth()",""
"failed","Wed Jun 18 21:35:21 UTC 2025","Wed Jun 18 21:35:24 UTC 2025","2580","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithWordInNumber","shouldDeclinedPaymentByCardWithWordInNumber()",""
"passed","Wed Jun 18 21:38:07 UTC 2025","Wed Jun 18 21:38:07 UTC 2025","299","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithThreeNumInMonth","shouldDeclinedPaymentByCardWithThreeNumInMonth()",""
"passed","Wed Jun 18 21:39:52 UTC 2025","Wed Jun 18 21:39:52 UTC 2025","292","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithTwoNumInCVC","shouldDeclinedPaymentByCardWithTwoNumInCVC()",""
"failed","Wed Jun 18 21:37:13 UTC 2025","Wed Jun 18 21:37:24 UTC 2025","10301","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldWriteToDataBaseDeclinedPaymentByCreditCard","shouldWriteToDataBaseDeclinedPaymentByCreditCard()",""
"passed","Wed Jun 18 21:36:45 UTC 2025","Wed Jun 18 21:36:51 UTC 2025","6311","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldPaymentByValidCreditCard","shouldPaymentByValidCreditCard()",""
"failed","Wed Jun 18 21:34:54 UTC 2025","Wed Jun 18 21:34:57 UTC 2025","2581","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithEmptyYear","shouldDeclinedPaymentByCardWithEmptyYear()",""
"failed","Wed Jun 18 21:34:39 UTC 2025","Wed Jun 18 21:34:42 UTC 2025","2687","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOldYear","shouldDeclinedPaymentByCardWithOldYear()",""
"passed","Wed Jun 18 21:39:26 UTC 2025","Wed Jun 18 21:39:27 UTC 2025","299","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOldMonth","shouldDeclinedPaymentByCardWithOldMonth()",""
"failed","Wed Jun 18 21:38:16 UTC 2025","Wed Jun 18 21:38:19 UTC 2025","2656","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerByUpperCase","shouldDeclinedPaymentByCardWithOwnerByUpperCase()",""
"failed","Wed Jun 18 21:39:27 UTC 2025","Wed Jun 18 21:39:29 UTC 2025","2644","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerArabicName","shouldDeclinedPaymentByCardWithOwnerArabicName()",""
"failed","Wed Jun 18 21:36:10 UTC 2025","Wed Jun 18 21:36:12 UTC 2025","2556","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithSpecialCharacterInMonth","shouldDeclinedPaymentByCardWithSpecialCharacterInMonth()",""
"passed","Wed Jun 18 21:40:08 UTC 2025","Wed Jun 18 21:40:09 UTC 2025","323","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithEmptyCVC","shouldDeclinedPaymentByCardWithEmptyCVC()",""
"failed","Wed Jun 18 21:37:41 UTC 2025","Wed Jun 18 21:37:44 UTC 2025","2630","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerByMoreSpacesBetweenNameAndSurname","shouldDeclinedPaymentByCardWithOwnerByMoreSpacesBetweenNameAndSurname()",""
"failed","Wed Jun 18 21:39:14 UTC 2025","Wed Jun 18 21:39:17 UTC 2025","2531","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithWordInMonth","shouldDeclinedPaymentByCardWithWordInMonth()",""
"passed","Wed Jun 18 21:36:16 UTC 2025","Wed Jun 18 21:36:16 UTC 2025","307","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithNoFullNumber","shouldDeclinedPaymentByCardWithNoFullNumber()",""
"failed","Wed Jun 18 21:35:54 UTC 2025","Wed Jun 18 21:36:10 UTC 2025","15524","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithThreeNumInYear","shouldDeclinedPaymentByCardWithThreeNumInYear()",""
"failed","Wed Jun 18 21:39:46 UTC 2025","Wed Jun 18 21:39:49 UTC 2025","2655","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOwnerByHyphenInFinishName","shouldDeclinedPaymentByCardWithOwnerByHyphenInFinishName()",""
